"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
"Wsb21",0.736210424160857,0.737239998334834,0.059,0.046,1,"Wsb2","9"
"Parp163",0.73639735299907,1.21197908241451,0.029,0.021,1,"Parp16","9"
"Mlx1",0.738176663696933,0.500989628306738,0.118,0.096,1,"Mlx","9"
"Asb81",0.738702811798054,0.880432137639716,0.059,0.048,1,"Asb8","9"
"Galc1",0.738846611525746,1.26601755926086,0.029,0.021,1,"Galc","9"
"Tspan332",0.738948326111089,1.18610814709632,0.029,0.021,1,"Tspan33","9"
"Gm464303",0.739783591828716,1.27221773755043,0.029,0.021,1,"Gm46430","9"
"Slpi1",0.739839996770803,0.565937896266048,0.059,0.074,1,"Slpi","9"
"Mcoln11",0.740367048911981,0.772158742755213,0.059,0.046,1,"Mcoln1","9"
"Dtx22",0.741716037037712,0.838228337996356,0.059,0.047,1,"Dtx2","9"
"Naa301",0.742392049555466,0.760523574437612,0.088,0.075,1,"Naa30","9"
"Igkv6-252",0.742713608201306,1.42524065671132,0.029,0.022,1,"Igkv6-25","9"
"Elmod33",0.742845338097069,1.33458189477559,0.029,0.021,1,"Elmod3","9"
"Brms12",0.743007282103153,0.610505265934486,0.088,0.072,1,"Brms1","9"
"Gadd45a1",0.743347629198278,1.18677468668974,0.029,0.021,1,"Gadd45a","9"
"Rhob2",0.744210639447393,0.613057599354125,0.088,0.075,1,"Rhob","9"
"Mogs1",0.744416092089245,0.642893081447782,0.088,0.075,1,"Mogs","9"
"Ahi13",0.744448701726234,0.554067332381388,0.088,0.073,1,"Ahi1","9"
"Foxd2os3",0.745087927341673,1.26820967700953,0.029,0.021,1,"Foxd2os","9"
"Itga14",0.745601442470112,1.1016395320397,0.029,0.021,1,"Itga1","9"
"Sbk1",0.746167855235237,0.556017900399392,0.088,0.072,1,"Sbk1","9"
"Tlr72",0.746869395240103,1.10177778563249,0.029,0.021,1,"Tlr7","9"
"Slc31a12",0.746958404355764,1.26276277011279,0.029,0.021,1,"Slc31a1","9"
"Chek23",0.746958404565058,1.27819555982158,0.029,0.021,1,"Chek2","9"
"Wdr953",0.747625194320603,1.08298188303361,0.029,0.021,1,"Wdr95","9"
"Gm317183",0.748381235874268,1.06541517805949,0.029,0.021,1,"Gm31718","9"
"Nsun52",0.749014022734297,0.564599936200839,0.029,0.041,1,"Nsun5","9"
"Zfp4441",0.749353235203322,0.761712938398547,0.059,0.047,1,"Zfp444","9"
"Plscr32",0.749788567381719,1.33322987209606,0.029,0.022,1,"Plscr3","9"
"Gm168674",0.751453615862718,1.16657923514989,0.029,0.021,1,"Gm16867","9"
"Scmh12",0.752019688518851,0.502515742289036,0.088,0.073,1,"Scmh1","9"
